cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-001064,EB-2,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-001065,,breast,Breast Cancer,Carcinoma
ACH-001067,F5,central_nervous_system,Brain Cancer,Meningioma
ACH-001068,,lymphocyte,Lymphoma,T-cell
ACH-001072,GR-M,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001075,NCI-H292,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma"
ACH-001081,,colorectal,Colon/Colorectal Cancer,
ACH-001084,HCT8,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001086,,cervix,Cervical Cancer,Carcinoma
ACH-001089,,liver,Liver Cancer,Hepatocellular Carcinoma
ACH-001090,,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001091,HRT18,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001094,,plasma_cell,Myeloma,Multiple Myeloma
ACH-001096,JR,soft_tissue,Sarcoma,Rhabdomyosarcoma
ACH-001101,,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001106,KOPN-8,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-001107,,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001111,L82,lymphocyte,Lymphoma,T-cell
ACH-001113,LC-1/sq-SF,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"
ACH-001118,,central_nervous_system,Brain Cancer,Glioma
ACH-001119,Mac-2A,lymphocyte,Lymphoma,T-cell
ACH-001121,,lymphocyte,Lymphoma,B-cell
ACH-001125,,central_nervous_system,Brain Cancer,Glioma
ACH-001126,,central_nervous_system,Brain Cancer,Glioma
ACH-001127,,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell"
ACH-001128,MON,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001129,MONO-MAC-1,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-001131,MS-1,skin,Skin Cancer,Merkel Cell Carcinoma
