cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-002285,NB7,peripheral_nervous_system,Neuroblastoma,
ACH-002286,NCI-H128,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-002288,NEC8,embryo,Embryonal Cancer,Testicular Carcinoma
ACH-002289,NK-92MI,blood,Leukemia,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma
ACH-002290,NKM-1,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-002291,NTERA-2 cl.D1,embryo,Embryonal Cancer,Carcinoma
ACH-002292,OACp4C,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-002293,P32-ISH,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-002294,PCI-15A,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002295,PCI-30,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002296,PCI-38,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002297,PCI-4B,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal"
ACH-002298,PCI-6A,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002299,QIMR-WIL,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-002300,Ramos-2G6-4C10,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Burkitts"
ACH-002301,RF-48,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-002302,RPMI-8866,blood,Leukemia,Chronic Myelogenous Leukemia (CML)
ACH-002304,SK-MG-1,central_nervous_system,Brain Cancer,Glioma
ACH-002305,SKN-3,upper_aerodigestive,Head and Neck Cancer,Squamous Cell Carcinoma
ACH-002306,STS-0421,gastric,Gastric Cancer,Adenocarcinoma
ACH-002307,SU-DHL-16,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-002308,SUP-B8,blood,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell"
ACH-002309,SW684,soft_tissue,Sarcoma,Fibrosarcoma
ACH-002310,SW872,soft_tissue,Liposarcoma,
ACH-002311,TE-12,esophagus,Esophageal Cancer,Squamous Cell Carcinoma
ACH-002312,TGBC24TKB,bile_duct,Gallbladder Cancer,Adenocarcinoma
ACH-002313,TK,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins"
ACH-002314,TUR,blood,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Monocytic)"
ACH-002316,WIL2-NS,blood,Non-Cancerous,Hereditary Spherocytosis
ACH-002317,YT,blood,Leukemia,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma
ACH-002336,HCET,unknown,Unknown,
ACH-002337,JHU028,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-002338,M980513,skin,Skin Cancer,Melanoma
ACH-002339,MOT,blood,Leukemia,Hairy Cell
ACH-002340,NBSUSSR,peripheral_nervous_system,Neuroblastoma,
ACH-002345,CaR-1,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-002363,NCIBL1395,unknown,Non-Cancerous,
ACH-002365,NCIBL1770,unknown,Non-Cancerous,
ACH-002366,NCIBL2009,unknown,Non-Cancerous,
ACH-002367,NCIBL2052,unknown,Non-Cancerous,
ACH-002368,NCIBL2087,unknown,Non-Cancerous,
ACH-002369,NCIBL209,unknown,Non-Cancerous,
ACH-002370,NCIBL2122,unknown,Non-Cancerous,
ACH-002371,NCIBL2126,unknown,Non-Cancerous,
ACH-002372,NCIBL2171,unknown,Non-Cancerous,
ACH-002373,HCC1187BL,unknown,Non-Cancerous,
ACH-002374,HCC1599BL,unknown,Non-Cancerous,
ACH-002375,HCC1937BL,unknown,Non-Cancerous,
ACH-002377,HCC38BL,unknown,Non-Cancerous,
ACH-002378,HCC1143BL,unknown,Non-Cancerous,
ACH-002380,COLO829BL,unknown,Non-Cancerous,
ACH-002381,HCC2157BL,unknown,Non-Cancerous,
ACH-002382,HCC1395BL,unknown,Non-Cancerous,
ACH-002383,HCC2218BL,unknown,Non-Cancerous,
ACH-002384,HCC1954BL,unknown,Non-Cancerous,
ACH-002386,M00921,skin,Skin Cancer,Melanoma
ACH-002387,M1203273,skin,Skin Cancer,Melanoma
ACH-002388,MET2B,skin,Skin Cancer,Melanoma
ACH-002389,ACN,peripheral_nervous_system,Neuroblastoma,
ACH-002390,MC-1010,blood,Leukemia,Acute Myelogenous Leukemia (AML)
ACH-002391,UD-SCC-2,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, hypopharyngeal"
ACH-002393,CRO-AP3,lymphocyte,Lymphoma,"B-cell, Non-Hodgkins, Primary Effusion"
ACH-002394,GEO,colorectal,Colon/Colorectal Cancer,Colon Carcinoma
ACH-002395,HuH-6 Clone 5,liver,Liver Cancer,Hepatoblastoma
ACH-002396,Sarc9371,bone,Bone Cancer,Osteosarcoma
ACH-002397,KMH-2,thyroid,Thyroid Cancer,Carcinoma
