gene_name,cell_type,mean_effect,n_cell_lines
ADAMTSL5,T_cell_CD8,-0.26457,5
ADAP1,T_cell_CD8,-0.10605,5
ADAP2,T_cell_CD8,-0.12894,5
ADAR,T_cell_CD8,-0.17182,5
ADARB1,T_cell_CD8,-0.07195,5
ADARB2,T_cell_CD8,-0.05672,5
ADAT1,T_cell_CD8,-0.20894,5
ADAT2,T_cell_CD8,-0.87229,5
ADAT3,T_cell_CD8,-0.55753,5
ADCK1,T_cell_CD8,0.09575,5
ADCK2,T_cell_CD8,-0.09972,5
ADCK5,T_cell_CD8,-0.06011,5
ADCY1,T_cell_CD8,0.03829,5
ADCY10,T_cell_CD8,-0.06069,5
ADCY2,T_cell_CD8,0.07735,5
ADCY3,T_cell_CD8,-0.54993,5
ADCY4,T_cell_CD8,-0.25344,5
ADCY5,T_cell_CD8,0.17461,5
ADCY6,T_cell_CD8,0.00189,5
ADCY7,T_cell_CD8,0.06085,5
ADCY8,T_cell_CD8,-0.0358,5
ADCY9,T_cell_CD8,-0.05649,5
ADCYAP1,T_cell_CD8,0.06003,5
ADCYAP1R1,T_cell_CD8,-0.06409,5
ADD1,T_cell_CD8,-0.05033,5
ADD2,T_cell_CD8,-0.16325,5
ADD3,T_cell_CD8,0.06896,5
ADGRA1,T_cell_CD8,0.01149,5
ADGRA2,T_cell_CD8,-0.08467,5
ADGRA3,T_cell_CD8,-0.09488,5
ADGRB1,T_cell_CD8,-0.03522,5
ADGRB2,T_cell_CD8,-0.26846,5
ADGRB3,T_cell_CD8,0.0212,5
ADGRD1,T_cell_CD8,-0.06052,5
ADGRE1,T_cell_CD8,-0.11157,5
ADGRE2,T_cell_CD8,-0.01273,5
ADGRE3,T_cell_CD8,0.13338,5
ADGRE5,T_cell_CD8,0.04836,5
ADGRF1,T_cell_CD8,0.07859,5
ADGRF3,T_cell_CD8,-0.05722,5
ADGRF4,T_cell_CD8,0.1253,5
ADGRF5,T_cell_CD8,-0.16224,5
ADGRG1,T_cell_CD8,-0.06442,5
ADGRG2,T_cell_CD8,0.09128,5
ADGRG3,T_cell_CD8,-0.08801,5
ADGRG4,T_cell_CD8,0.06667,5
ADGRG5,T_cell_CD8,-0.02436,5
ADGRG6,T_cell_CD8,0.1131,5
ADGRG7,T_cell_CD8,-0.04691,5
ADGRL1,T_cell_CD8,0.01152,5
ADGRL2,T_cell_CD8,-0.00863,5
ADGRL3,T_cell_CD8,0.16257,5
ADGRL4,T_cell_CD8,0.20258,5
ADGRV1,T_cell_CD8,0.09911,5
ADH1A,T_cell_CD8,0.15514,5
ADH1B,T_cell_CD8,0.07245,5
ADH4,T_cell_CD8,0.05795,5
ADH5,T_cell_CD8,-0.03861,5
ADH6,T_cell_CD8,0.13634,5
ADH7,T_cell_CD8,0.09129,5
ADHFE1,T_cell_CD8,0.06746,5
ADI1,T_cell_CD8,-0.20072,5
ADIG,T_cell_CD8,-0.03097,5
ADIPOQ,T_cell_CD8,-0.04012,5
ADIPOR1,T_cell_CD8,0.04331,5
ADIPOR2,T_cell_CD8,0.05438,5
ADIRF,T_cell_CD8,0.17912,5
ADK,T_cell_CD8,-0.00224,5
ADM,T_cell_CD8,0.00599,5
ADM2,T_cell_CD8,-0.09355,5
ADM5,T_cell_CD8,-0.16331,5
ADNP,T_cell_CD8,-0.38131,5
ADNP2,T_cell_CD8,-0.14382,5
ADO,T_cell_CD8,0.02608,5
ADORA1,T_cell_CD8,0.03884,5
ADORA2A,T_cell_CD8,-0.12829,5
ADORA2B,T_cell_CD8,-0.1358,5
ADPGK,T_cell_CD8,-0.1336,5
ADPRH,T_cell_CD8,-0.18559,5
ADPRHL1,T_cell_CD8,-0.06538,5
ADPRM,T_cell_CD8,0.00596,5
ADPRS,T_cell_CD8,-0.29642,5
ADRA1A,T_cell_CD8,0.08928,5
ADRA1B,T_cell_CD8,-0.01323,5
ADRA1D,T_cell_CD8,0.00915,5
ADRA2A,T_cell_CD8,0.00996,5
ADRA2B,T_cell_CD8,-0.20985,5
ADRA2C,T_cell_CD8,0.08022,5
ADRB1,T_cell_CD8,0.02155,5
ADRB2,T_cell_CD8,-0.05649,5
ADRB3,T_cell_CD8,-0.00736,5
ADRM1,T_cell_CD8,-0.1941,5
ADSL,T_cell_CD8,-1.67532,5
ADSS1,T_cell_CD8,-0.23486,5
ADSS2,T_cell_CD8,-0.9409,5
ADTRP,T_cell_CD8,0.03556,5
AEBP1,T_cell_CD8,-0.12366,5
AEBP2,T_cell_CD8,-0.07682,5
AEN,T_cell_CD8,0.03188,5
AFAP1,T_cell_CD8,0.00088,5
AFAP1L1,T_cell_CD8,-0.00058,5
AFAP1L2,T_cell_CD8,-0.17282,5
AFDN,T_cell_CD8,-0.05964,5
AFF1,T_cell_CD8,0.07301,5
